Time_Frame,Low,High,Last,Weight_Avg,ID_Full,ID1,ID3,Date
00:00 - 00:15,75.70,200.00,132.30,132.29,558.9,608.2,583.6,2025-02-04
00:15 - 00:30,81.70,231.11,122.72,134.62,421.0,453.1,437.1,2025-02-04
00:30 - 00:45,82.53,168.33,108.96,126.65,489.8,545.5,517.7,2025-02-04
00:45 - 01:00,-113.41,143.18,129.10,118.27,542.2,590.5,566.4,2025-02-04
01:00 - 01:15,92.85,176.80,152.44,138.37,432.0,425.6,428.8,2025-02-04
01:15 - 01:30,81.21,169.80,161.81,133.40,375.9,440.6,408.3,2025-02-04
01:30 - 01:45,78.79,169.60,155.21,125.86,392.4,433.9,413.2,2025-02-04
01:45 - 02:00,78.20,268.54,152.82,119.55,520.0,562.8,541.4,2025-02-04
02:00 - 02:15,87.35,173.81,132.60,134.09,401.6,436.1,418.9,2025-02-04
02:15 - 02:30,73.40,153.09,123.64,123.99,381.7,398.0,389.9,2025-02-04
02:30 - 02:45,79.19,147.09,145.00,122.21,436.0,442.8,439.4,2025-02-04
02:45 - 03:00,78.47,151.83,128.00,116.03,568.0,603.1,585.6,2025-02-04
03:00 - 03:15,98.53,170.38,143.53,124.17,366.2,342.7,354.5,2025-02-04
03:15 - 03:30,98.00,153.46,148.04,122.66,467.9,452.2,460.1,2025-02-04
03:30 - 03:45,102.96,172.98,172.98,122.93,508.9,501.9,505.4,2025-02-04
03:45 - 04:00,107.55,169.09,128.00,121.86,524.8,533.4,529.1,2025-02-04
04:00 - 04:15,13.16,145.78,124.00,120.40,485.9,428.0,457.0,2025-02-04
04:15 - 04:30,103.39,150.89,132.46,125.33,418.8,405.9,412.4,2025-02-04
04:30 - 04:45,109.41,157.61,115.01,128.17,446.6,437.8,442.2,2025-02-04
04:45 - 05:00,108.30,194.78,133.23,127.76,623.5,587.4,605.5,2025-02-04
05:00 - 05:15,67.60,162.33,126.77,125.77,593.6,621.0,607.3,2025-02-04
05:15 - 05:30,111.34,175.10,134.93,134.91,428.6,459.7,444.2,2025-02-04
05:30 - 05:45,121.80,174.00,145.00,141.90,489.0,512.8,500.9,2025-02-04
05:45 - 06:00,104.62,186.11,140.40,150.86,752.8,811.6,782.2,2025-02-04
06:00 - 06:15,107.00,198.33,149.60,125.98,766.8,898.6,832.7,2025-02-04
06:15 - 06:30,120.50,183.77,147.10,143.53,563.7,538.1,550.9,2025-02-04
06:30 - 06:45,126.70,305.80,157.97,162.47,693.8,742.6,718.2,2025-02-04
06:45 - 07:00,144.00,200.48,189.50,183.44,857.8,947.9,902.9,2025-02-04
07:00 - 07:15,83.40,166.89,166.77,143.30,668.7,623.7,646.2,2025-02-04
07:15 - 07:30,114.70,184.60,165.00,166.75,480.2,445.9,463.1,2025-02-04
07:30 - 07:45,125.10,202.52,145.30,183.57,709.2,676.4,692.8,2025-02-04
07:45 - 08:00,155.00,222.80,155.00,201.29,1185.4,1075.7,1130.6,2025-02-04
08:00 - 08:15,162.88,243.50,183.99,214.05,747.0,776.3,761.7,2025-02-04
08:15 - 08:30,165.94,247.07,215.00,212.40,663.2,724.4,693.8,2025-02-04
08:30 - 08:45,160.09,290.00,239.70,204.28,786.8,800.0,793.4,2025-02-04
08:45 - 09:00,144.79,315.69,267.60,195.10,1248.6,1229.5,1239.1,2025-02-04
09:00 - 09:15,145.30,314.29,257.05,211.16,1276.2,1387.0,1331.6,2025-02-04
09:15 - 09:30,143.59,478.73,186.89,197.28,1054.8,1094.6,1074.7,2025-02-04
09:30 - 09:45,117.00,241.55,122.00,184.17,1323.3,1299.1,1311.2,2025-02-04
09:45 - 10:00,123.90,233.30,145.16,179.20,1389.6,1418.2,1403.9,2025-02-04
10:00 - 10:15,139.34,255.06,157.65,184.19,893.6,1044.7,969.2,2025-02-04
10:15 - 10:30,124.00,206.21,135.15,171.84,680.5,784.2,732.4,2025-02-04
10:30 - 10:45,125.37,172.00,131.86,157.39,584.2,656.0,620.1,2025-02-04
10:45 - 11:00,117.02,170.00,139.32,155.64,684.3,734.7,709.5,2025-02-04
11:00 - 11:15,125.57,183.81,160.39,165.29,557.8,638.4,598.1,2025-02-04
11:15 - 11:30,120.92,173.20,159.98,158.32,412.9,507.5,460.2,2025-02-04
11:30 - 11:45,105.73,170.42,140.84,148.19,438.5,490.1,464.3,2025-02-04
11:45 - 12:00,111.23,168.26,135.24,143.35,561.1,617.5,589.3,2025-02-04
12:00 - 12:15,116.51,181.51,154.93,153.56,260.8,349.0,304.9,2025-02-04
12:15 - 12:30,113.91,161.48,140.26,144.28,244.0,347.9,296.0,2025-02-04
12:30 - 12:45,115.25,154.63,140.39,140.13,261.5,329.7,295.6,2025-02-04
12:45 - 13:00,109.40,154.61,137.70,139.07,258.7,306.6,282.7,2025-02-04
13:00 - 13:15,116.33,157.19,139.71,139.53,227.0,223.7,225.4,2025-02-04
13:15 - 13:30,116.00,153.28,143.26,138.21,186.4,176.5,181.5,2025-02-04
13:30 - 13:45,116.74,153.10,141.01,139.17,129.9,152.6,141.3,2025-02-04
13:45 - 14:00,118.30,153.59,142.07,137.19,123.2,134.2,128.7,2025-02-04
14:00 - 14:15,103.64,148.81,138.30,134.22,249.5,205.0,227.3,2025-02-04
14:15 - 14:30,116.84,147.70,140.88,138.52,183.3,170.8,177.1,2025-02-04
14:30 - 14:45,130.30,153.65,141.00,144.00,109.5,143.5,126.5,2025-02-04
14:45 - 15:00,133.38,164.02,152.80,153.16,53.5,96.7,75.1,2025-02-04
15:00 - 15:15,113.36,134.49,130.72,126.50,247.7,210.3,229.0,2025-02-04
15:15 - 15:30,115.87,150.69,138.92,135.34,106.5,126.6,116.6,2025-02-04
15:30 - 15:45,141.12,168.61,153.71,152.50,79.8,86.1,83.0,2025-02-04
15:45 - 16:00,154.12,181.11,170.57,167.55,50.2,91.7,71.0,2025-02-04
16:00 - 16:15,128.15,149.98,143.50,140.53,84.6,46.8,65.7,2025-02-04
16:15 - 16:30,141.00,165.00,161.76,153.84,40.8,51.6,46.2,2025-02-04
16:30 - 16:45,149.64,183.46,170.90,170.22,49.0,53.8,51.4,2025-02-04
16:45 - 17:00,166.65,208.30,189.57,191.24,56.6,104.2,80.4,2025-02-04
17:00 - 17:15,136.76,178.22,161.34,156.29,62.5,36.8,49.7,2025-02-04
17:15 - 17:30,149.23,193.45,178.10,178.31,51.3,35.6,43.5,2025-02-04
17:30 - 17:45,174.48,213.43,200.00,188.70,50.1,42.4,46.3,2025-02-04
17:45 - 18:00,178.08,244.98,223.00,203.32,80.0,67.6,73.8,2025-02-04
18:00 - 18:15,164.55,212.90,207.06,195.52,56.0,76.6,66.3,2025-02-04
18:15 - 18:30,174.50,213.40,209.08,193.47,32.6,60.2,46.4,2025-02-04
18:30 - 18:45,190.15,224.02,224.02,201.43,32.5,47.3,39.9,2025-02-04
18:45 - 19:00,165.82,212.71,212.71,194.95,43.4,53.3,48.4,2025-02-04
19:00 - 19:15,211.08,249.48,239.97,222.73,54.8,38.7,46.8,2025-02-04
19:15 - 19:30,188.77,232.05,218.10,201.63,49.7,59.8,54.8,2025-02-04
19:30 - 19:45,170.20,204.30,192.77,185.42,60.7,44.1,52.4,2025-02-04
19:45 - 20:00,159.50,187.56,159.50,173.59,57.3,29.7,43.5,2025-02-04
20:00 - 20:15,187.00,216.26,198.43,198.63,45.2,65.9,55.6,2025-02-04
20:15 - 20:30,152.69,209.75,190.15,178.31,28.0,38.3,33.2,2025-02-04
20:30 - 20:45,138.51,180.67,164.50,151.59,33.8,21.9,27.9,2025-02-04
20:45 - 21:00,130.97,167.04,150.01,144.73,52.5,41.7,47.1,2025-02-04
