Time Frame,Low (€/MWh),High (€/MWh),Last (€/MWh),Weight Avg (€/MWh),ID Full (€/MWh),ID1 (€/MWh),ID3 (€/MWh),Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Date
00:00 - 00:15,70.59,185.80,71.89,124.95,438.9,443.9,441.4,,,,2025-02-10
00:15 - 00:30,73.38,164.51,83.06,121.39,478.0,503.3,490.7,,,,2025-02-10
00:30 - 00:45,29.60,153.06,111.99,106.43,453.3,499.4,476.4,,,,2025-02-10
00:45 - 01:00,-0.99,137.78,30.48,96.04,499.3,549.2,524.3,,,,2025-02-10
01:00 - 01:15,17.30,160.00,89.34,113.95,414.7,425.1,419.9,,,,2025-02-10
01:15 - 01:30,62.81,147.50,88.20,107.07,437.4,458.4,447.9,,,,2025-02-10
01:30 - 01:45,52.50,136.14,87.74,99.68,480.5,515.4,498.0,,,,2025-02-10
01:45 - 02:00,64.09,159.68,65.10,95.49,677.0,691.4,684.2,,,,2025-02-10
02:00 - 02:15,-13.71,151.89,128.58,107.49,367.9,385.6,376.8,,,,2025-02-10
02:15 - 02:30,37.71,133.15,70.00,94.88,351.9,383.5,367.7,,,,2025-02-10
02:30 - 02:45,-25.12,134.80,123.90,97.69,405.4,428.4,416.9,,,,2025-02-10
02:45 - 03:00,63.26,136.68,123.16,94.49,517.6,547.1,532.4,,,,2025-02-10
03:00 - 03:15,80.66,141.51,120.02,109.01,445.2,427.9,436.6,,,,2025-02-10
03:15 - 03:30,78.80,143.99,81.00,105.91,394.8,406.8,400.8,,,,2025-02-10
03:30 - 03:45,0.01,157.49,62.23,96.87,490.3,452.5,471.4,,,,2025-02-10
03:45 - 04:00,23.41,140.13,56.49,89.85,722.6,650.6,686.6,,,,2025-02-10
04:00 - 04:15,50.93,140.78,77.50,95.69,735.6,596.7,666.2,,,,2025-02-10
04:15 - 04:30,52.02,195.10,97.99,95.94,534.9,461.2,498.1,,,,2025-02-10
04:30 - 04:45,72.52,150.09,110.00,100.03,495.0,437.0,466.0,,,,2025-02-10
