Time_Frame,Low,High,Last,Weight_Avg,ID_Full,ID1,ID3,Buy_Volume,Sell_Volume,Volume,Date
00:00 - 00:15,-159.51,190.61,169.00,103.45,103.45,96.02,101.72,669.2,699.3,684.3,2025-02-11
00:15 - 00:30,86.10,171.00,160.01,102.66,102.66,104.37,99.29,562.9,641.4,602.2,2025-02-11
00:30 - 00:45,-500.00,199.89,172.00,103.53,103.53,99.37,92.72,577.3,675.3,626.3,2025-02-11
00:45 - 01:00,-500.00,174.29,158.00,95.22,95.22,89.28,82.20,900.4,991.6,946.0,2025-02-11
01:00 - 01:15,50.60,209.80,152.50,119.85,119.85,128.04,112.43,521.4,669.6,595.5,2025-02-11
01:15 - 01:30,49.00,168.00,121.70,110.09,110.09,120.91,106.07,513.2,600.9,557.1,2025-02-11
01:30 - 01:45,41.20,236.11,107.02,102.74,102.74,116.45,104.81,845.5,921.0,883.3,2025-02-11
01:45 - 02:00,69.01,173.99,140.00,100.72,100.72,106.68,102.24,858.3,934.7,896.5,2025-02-11
02:00 - 02:15,-400.00,169.50,151.00,114.82,114.82,111.80,109.54,512.0,572.9,542.5,2025-02-11
02:15 - 02:30,64.47,167.76,130.00,102.04,102.04,98.76,101.07,433.5,494.4,464.0,2025-02-11
02:30 - 02:45,71.74,237.20,200.00,115.46,115.46,101.98,102.83,637.7,703.1,670.4,2025-02-11
02:45 - 03:00,-134.96,156.40,125.00,106.54,106.54,108.41,101.59,700.6,759.5,730.1,2025-02-11
03:00 - 03:15,-500.00,252.74,83.19,115.68,115.68,123.25,111.90,573.3,597.0,585.2,2025-02-11
03:15 - 03:30,-500.00,199.51,180.00,124.37,124.37,124.18,114.35,563.0,617.2,590.1,2025-02-11
03:30 - 03:45,-500.00,172.27,135.20,119.37,119.37,121.64,114.01,594.9,661.9,628.4,2025-02-11
03:45 - 04:00,83.55,181.07,150.00,122.95,122.95,127.22,117.73,574.1,612.2,593.2,2025-02-11
04:00 - 04:15,65.62,149.14,149.14,100.61,100.61,100.14,99.57,580.0,529.6,554.8,2025-02-11
04:15 - 04:30,68.54,180.00,179.70,111.95,111.95,109.86,104.66,643.0,631.3,637.2,2025-02-11
04:30 - 04:45,85.98,180.00,167.68,124.07,124.07,129.45,120.69,644.4,628.0,636.2,2025-02-11
04:45 - 05:00,-85.60,199.99,139.20,131.99,131.99,139.21,130.18,1007.7,981.3,994.5,2025-02-11
05:00 - 05:15,27.47,153.80,141.76,100.42,100.42,106.30,102.27,881.6,922.4,902.0,2025-02-11
